species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Burhinus oedicnemus,12.5,6.0,0.0,12.0,6.0
Haematopus ostralegus,12.66666667,7.0,0.0,18.0,7.5
Vanellus vanellus,12.0,8.0,0.0,12.0,6.0
Pluvialis squatarola,12.0,7.0,0.0,13.0,8.0
Pluvialis apricaria,13.0,6.0,0.0,13.0,8.0
Fratercula arctica,14.0,7.0,0.0,12.0,7.5
Uria aalge,14.0,6.666666667,0.0,12.5,8.0
Chroicocephalus ridibundus,14.0,7.0,0.0,12.0,7.0
Sterna paradisaea,13.0,6.0,0.0,12.0,6.0
Sterna hirundo,13.0,7.0,0.0,12.0,8.0
Rynchops niger,13.0,6.0,0.0,12.0,8.0
Alca torda,12.5,8.0,0.0,17.0,8.0
Glareola pratincola,12.0,6.0,0.0,11.0,8.0
Numenius arquata,14.0,6.5,0.0,14.0,7.0
Limosa lapponica,12.0,7.5,0.0,15.0,6.0
Tringa nebularia,14.0,8.0,0.0,13.0,7.0
Arenaria interpres,10.0,6.0,0.0,12.0,7.0
Calidris canutus,13.0,6.0,0.0,12.0,7.0
Calidris pugnax,13.5,8.0,0.0,12.0,8.0
Scolopax rusticola,13.33333333,6.0,0.0,11.5,7.5
Gallinago gallinago,13.5,7.0,0.0,14.0,6.5
Jacana spinosa,15.0,7.0,0.0,12.0,7.0
Attagis gayi,13.0,7.0,0.0,13.0,6.0
