Major clade,Genus,species,MHI1,N,N Atypical CTL2,CTL Mode3,C Mode,T Mode,L Mode,Trans-T Mode4,Trans-L Mode5,S Mode,N int. C/T6,N int. T/L7,N int. L/S8,TransN9,N int. trans-T/L10,Analysis 1,Analysis 211,Analysis 3,Analysis 412,Analysis 513,Analysis 614,Analysis 715,Analysis 816,Analysis 917,Analysis 1018
Carnivora,Lycalopex,gymnocercus,0.092,43,2,27,7,13,7,10,10,3,0,1,0,43,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Carnivora,Canis,adustus / aureus / latrans / lupus / mesomelas / simensis,0.277,78,12,27,7,13,7,10,10,3,0,1,1,78,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Carnivora,Ailuropoda,melanoleuca,0.358,20,4,25,7,13,5,11,7,5,0,3,0,19,2,SLOW,SLOW,SLOW,TER.,UPR.,NOT,QUA.,AMBL.,STAB.,-
Carnivora,Ursus,americanus / arctos / maritimus / thibetanus,0.254,78,11,27,7,14,6,11,9,5,0,5,2,76,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,AMBL.,MOB.,MOB.
Carnivora,Melursus,ursinus,0.419,15,4,27,7,15,5,12,8,5,0,1,0,15,0,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,AMBL.,STAB.,-
Carnivora,Helarctos,malayanus,0,10,0,26,7,15,4,12,7,5,0,1,0,9,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,AMBL.,STAB.,-
Carnivora,Zalophus,californianus,0.181,21,2,27,7,15,5,11,9,3,0,0,0,20,5,-,-,-,AQU.,-,-,SWIM.,OTH.,STAB.,-
Carnivora,Odobenus,rosmarus,0.356,10,2,27,7,15,5,12,8,4,0,0,0,10,0,-,-,-,AQU.,-,-,SWIM.,OTH.,STAB.,-
Carnivora,Potos,flavus,0.143,14,1,27,7,14,6,11,9,3,0,0,0,14,0,-,-,-,ARB.,NON,NOT,SUSP.,CLIM.,MOB.,MOB.
Carnivora,Procyon ,lotor,0.251,50,7,27,7,14,6,11,9,3,0,3,0,50,3,FAST,INT.,FAST,TER.,NON,NOT,QUA.,AMBL.,MOB.,MOB.
Carnivora,Taxidea,taxus,0,13,0,27,7,14,6,11,9,3,0,3,1,13,0,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,AMBL.,MOB.,MOB.
Carnivora,Martes,americana / flavigula / foina / martespennati,0.045,44,1,27,7,14,6,10,10,3,0,0,0,44,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Carnivora,Neovison,vison,0.119,33,2,27,7,14,6,11,9,3,0,6,2,33,1,SLOW,INT.,SLOW,TER.,NON,NOT,SWIM.,RUN.,MOB.,MOB.
Carnivora,Mustela,frenata / lutreolina / nigripes / putorius / sibirica,0.216,52,6,27,7,14,6,11,9,3,0,3,2,52,1,SLOW,INT.,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Perissodactyla,Equus,hemionus / quagga / zebra,0.764,11,6,31,7,18,6,17.5,6.5,5,0,0,0,11,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Perissodactyla,Tapirus,bairdii / indicus / terrestris / sp.,0.248,15,2,30,7,18,5,22,1,6,0,0,0,15,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,AMBL.,STAB.,DS QUAD.
Perissodactyla,Ceratotherium/Diceros/ Dicerorhinus/Rhinoceros,bicornis / simum / sumatrensis / unicornis,0.133,15,1,29,7,19,3,21,1,5,0,0,0,15,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,AMBL.,STAB.,DS QUAD.
