Major clade,Genus,species,MHI1,N,N Atypical CTL2,CTL Mode3,C Mode,T Mode,L Mode,Trans-T Mode4,Trans-L Mode5,S Mode,N int. C/T6,N int. T/L7,N int. L/S8,TransN9,N int. trans-T/L10,Analysis 1,Analysis 211,Analysis 3,Analysis 412,Analysis 513,Analysis 614,Analysis 715,Analysis 816,Analysis 917,Analysis 1018
Glires (rodents + lagomorphs),Erethizon,dorsatum,0.644,10,5,27,7,14,6,11,9,3,1,1,0,10,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,AMBL.,MOB.,MOB.
Glires (rodents + lagomorphs),Cryptomys,hottentotus,0.644,10,5,26,7,13,6,9,10,4,0,1,1,9,0,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Heliophobius,argenteocinereus,0.439,12,3,25,7,12,6,8,10,4,0,0,1,12,1,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Heterocephalus,glaber,0.467,25,7,26,7,11,8,9,10,3,0,4,1,13,0,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Dolichotis,patagonum,0.303,12,2,26,7,12,7,13,6,4,0,0,0,12,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Glires (rodents + lagomorphs),Hydrochoerus,hydrochaeris,0.180,41,4,26,7,13,6,13,6,4,0,1,0,40,1,SLOW,INT.,SLOW,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Glires (rodents + lagomorphs),Ctenomys,boliviensis,0.133,15,1,26,7,12,7,10,9,4,0,0,0,15,0,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Cratogeomys,castanops,0.143,14,1,25,7,12,6,11,8,5,0,0,1,14,0,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Geomys,bursarius / pinetis,0.267,21,3,26,7,12,7,10,9,5,0,4,0,20,2,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Thomomys,bottae / umbrinus,0.364,57,7,26,7,12,7,10,9,5,0,2,2,56,1,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Dipodomys,ordii / merriami / heermanni,0.417,32,7,26,7,12,7,11,8,4,0,0,0,27,0,SLOW,INT.,-,TER.,UPR.,NOT,BIP.,RUN.,MOB.,-
Glires (rodents + lagomorphs),Castor,canadensis / fiber,0.200,47,5,26,7,14,5,11,8,4,0,1,0,47,3,SLOW,SLOW,SLOW,TER.,NON,NOT,SWIM.,AMBL.,STAB.,-
Glires (rodents + lagomorphs),Microtus,pennsylvanicus / californicus / chrotorrhinus,0.167,12,1,26,7,13,6,10,9,3,0,0,0,12,0,SLOW,SLOW,SLOW,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Onychomys,leucogaster,0.210,71,7,26,7,13,6,-,-,3,0,0,2,-,-,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Peromyscus,leucopus,0,12,0,26,7,13,6,10,9,4,0,0,0,12,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Rattus,norvegicus / rattus,0.071,56,2,26,7,13,6,10,9,4,0,0,0,55,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Mastomys,coucha,0,10,0,26,7,13,6,10,9,3,0,0,0,10,0,-,-,-,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Jaculus,jaculus / orientalis,0.132,44,3,26,7,12,7,10,9,4,0,0,0,42,0,FAST,FAST,-,TER.,UPR.,NOT,BIP.,RUN.,MOB.,-
Glires (rodents + lagomorphs),Pedetes,capensis / surdaster,0.295,13,2,26,7,12,7,10,9,3,0,0,0,13,0,FAST,INT.,-,TER.,UPR.,NOT,BIP.,RUN.,MOB.,-
Glires (rodents + lagomorphs),Anomalurus,derbianus / pelii,0.550,22,8,32,7,15,10,12,13,4,0,0,0,22,0,-,-,-,ARB.,NON,NOT,QUA.,CLIM.,MOB.,-
,1MHI=Morphological heterogeneity index,,,,,,,,,,,,,,,,,,,,,,,,,,
,2N atypical CTL=number of individuals with an atypical number of presacral vertebrae,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CTL mode=modal number of presacral vertebrae,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Trans-T mode=modal number of pre-transitional thoracolumbar vertebrae + 1 (transitional vertebra),,,,,,,,,,,,,,,,,,,,,,,,,,
,5Trans-L mode=modal number of post-transitional thoracolumbar vertebrae,,,,,,,,,,,,,,,,,,,,,,,,,,
,6N int. C/T=number of individuals with intermediate (half and half) cervical/thoracic vertebare,,,,,,,,,,,,,,,,,,,,,,,,,,
,7N int. T/L=number of individuals with intermediate (half and half) thoracic/lumbar vertebrae,,,,,,,,,,,,,,,,,,,,,,,,,,
,8N int. L/S=number of individuals with intermediate (half and half) lumbar/sacral vertebrae,,,,,,,,,,,,,,,,,,,,,,,,,,
,9TransN=number of individuals per taxon with transitional vertebra data,,,,,,,,,,,,,,,,,,,,,,,,,,
,10N int. trans-T/L=number of individuals with an intermediate transitional vertebra level,,,,,,,,,,,,,,,,,,,,,,,,,,
,11INT=Intermediate speed,,,,,,,,,,,,,,,,,,,,,,,,,,
,12ARB.=arboreal; TER.=terrestrial; AQU.=aquatic; FOS.=fossorial,,,,,,,,,,,,,,,,,,,,,,,,,,
,13UPR.=upright; NON=non-upright,,,,,,,,,,,,,,,,,,,,,,,,,,
,14QUA.=quadrupedal; DIG.=digging; BIP.=bipedal; SWIM.=swimming; SUSP.=suspensory,,,,,,,,,,,,,,,,,,,,,,,,,,
,15ANTI.=antipronograde; NOT=not antipronograde,,,,,,,,,,,,,,,,,,,,,,,,,,
,"16AMBL.=ambling; RUN.=running; CLIM.=quadrumanuous slow climbing, cantelevering, and suspensory behavior; OTH.=other limb use category (digging, swimming, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,17MOB.=dorsomobile; STAB.=dorsostable,,,,,,,,,,,,,,,,,,,,,,,,,,
,18DS QUAD.=dorsostable quadrupedal locomotion; DS CLIMB=dorsostable slow climbing/suspension,,,,,,,,,,,,,,,,,,,,,,,,,,
