node,C,T,L,S,Ca,insideVariance,totalVariance,explainedVariance,outsideVariance,numMammals,numBirds,numReptiles,numAmphibians,speciesList
1151,0.0,0.0,1.0,0.0,0.0,7.090279470918453e-32,9.087896591143345,7.801892770025927e-33,7.363238893311685,0,77,0,0,"['Aptenodytes forsteri' 'Gavia stellata' 'Tachybaptus ruficollis'
 'Eudyptes schlegeli' 'Pelecanus conspicillatus' 'Macronectes giganteus'
 'Oceanites oceanicus' 'Chroicocephalus ridibundus' 'Sterna paradisaea'
 'Rynchops niger' 'Tringa nebularia' 'Plegadis falcinellus'
 'Threskiornis melanocephalus' 'Psophia viridis' 'Jacana spinosa'
 'Attagis gayi' 'Pluvialis squatarola' 'Arenaria interpres'
 'Calidris canutus' 'Columba palumbus' 'Ptilinopus magnificus'
 'Ducula badia' 'Ptilinopus melanospilus' 'Arremon semitorquatus'
 'Parkerthraustes humeralis' 'Saltator coerulescens'
 'Neothraupis fasciata' 'Orthogonys chloricterus' 'Thraupis ornata'
 'Trichothraupis melanops' 'Hemithraupis flavicollis' 'Tangara seledon'
 'Chlorophonia cyanocephala' 'Corvus frugilegus' 'Coloeus monedula'
 'Pica pica' 'Pyrrhocorax graculus' 'Nucifraga caryocatactes'
 'Cissa thalassina' 'Heteralocha acutirostris' 'Catharus minimus'
 'Chloris sinica' 'Spheniscus humboldti' 'Hirundo rustica'
 'Melopsittacus undulatus' 'Motacilla alba alba' 'Otus sunia'
 'Sterna hirundo' 'Parus major' 'Podiceps cristatus' 'Ciconia ciconia'
 'Burhinus oedicnemus' 'Pluvialis apricaria' 'Vanellus vanellus'
 'Haematopus ostralegus' 'Scolopax rusticola' 'Glareola pratincola'
 'Upupa epops' 'Cariama cristata' 'Corvus corax' 'Alca torda'
 'Fratercula arctica' 'Eudyptula minor' 'Uria aalge' 'Diomedea exulans'
 'Limosa lapponica' 'Numenius arquata' 'Platalea leucorodia'
 'Gallinula chloropus' 'Fulica atra' 'Calidris pugnax'
 'Pterocles orientalis' 'Goura cristata' 'Corvus corone'
 'Accipiter gentilis' 'Alauda arvensis' 'Gallinago gallinago']"
1142,0.0,0.0,1.0,0.0,0.0,1.801356601622371e-30,1.9841900887573967,9.078548531358075e-31,6.735912749916203,0,26,0,0,"['Arremon semitorquatus' 'Parkerthraustes humeralis'
 'Saltator coerulescens' 'Neothraupis fasciata' 'Orthogonys chloricterus'
 'Thraupis ornata' 'Trichothraupis melanops' 'Hemithraupis flavicollis'
 'Tangara seledon' 'Chlorophonia cyanocephala' 'Corvus frugilegus'
 'Coloeus monedula' 'Pica pica' 'Pyrrhocorax graculus'
 'Nucifraga caryocatactes' 'Cissa thalassina' 'Heteralocha acutirostris'
 'Catharus minimus' 'Chloris sinica' 'Hirundo rustica'
 'Melopsittacus undulatus' 'Motacilla alba alba' 'Parus major'
 'Corvus corax' 'Corvus corone' 'Alauda arvensis']"
1208,0.0,0.0,1.0,0.0,0.0,2.500010438909905e-29,13.872052777777773,1.8021921333191416e-30,6.66619106509962,0,20,0,0,"['Branta bernicla' 'Anser cygnoides' 'Coscoroba coscoroba'
 'Tadorna tadorna' 'Tadorna ferruginea' 'Dendrocygna arcuata'
 'Mareca strepera' 'Melanitta nigra' 'Aythya marila' 'Bucephala clangula'
 'Oxyura leucocephala' 'Mergellus albellus' 'Anas zonorhyncha'
 'Anas acuta' 'Cygnus olor' 'Cereopsis novaehollandiae' 'Cygnus atratus'
 'Cygnus cygnus' 'Anas platyrhynchos' 'Biziura lobata']"
1270,0.0,0.0,1.0,0.0,0.0,3.929461297120256e-29,14.795181755829905,2.655906065886543e-30,6.854221303590327,0,36,0,0,"['Branta bernicla' 'Anser cygnoides' 'Coscoroba coscoroba'
 'Tadorna tadorna' 'Tadorna ferruginea' 'Dendrocygna arcuata'
 'Mareca strepera' 'Melanitta nigra' 'Aythya marila' 'Bucephala clangula'
 'Oxyura leucocephala' 'Mergellus albellus' 'Lyrurus tetrix tetrix'
 'Lagopus muta' 'Perdix perdix' 'Pternistis capensis'
 'Callipepla californica' 'Pavo muticus' 'Lophura nycthemera'
 'Chrysolophus pictus' 'Penelope montagnii' 'Argusianus argus'
 'Crax rubra' 'Anas zonorhyncha' 'Coturnix japonica' 'Gallus gallus'
 'Anas acuta' 'Cygnus olor' 'Cereopsis novaehollandiae' 'Cygnus atratus'
 'Cygnus cygnus' 'Anas platyrhynchos' 'Biziura lobata' 'Tetrao urogallus'
 'Lagopus lagopus' 'Phasianus colchicus']"
170,0.0,0.0,1.0,0.0,0.0,4.300232997792998e-33,0.036982248520710054,1.162783002603227e-31,6.735912749916112,0,0,0,26,"['Hemisus guineensis' 'Chiromantis rufescens' 'Raorchestes signatus'
 'Polypedates cruciger' 'Polypedates leucomystax'
 'Pseudophilautus microtympanum' 'Rhacophorus reinwardtii'
 'Kurixalus idiootocus' 'Nyctixalus pictus' 'Buergeria oxycephala'
 'Taruga eques' 'Hamptophryne boliviana' 'Theloderma stellatum'
 'Hypopachus ustum' 'Rana dalmatina' 'Callulina kreffti'
 'Dyscophus guineti' 'Hoplobatrachus tigerinus' 'Sylvirana guentheri'
 'Kaloula pulchra' 'Pyxicephalus adspersus'
 'Lithobates clamitans melanotus' 'Pelophylax lessonae'
 'Lithobates pipiens' 'Rana temporaria' 'Boophis albilabris']"
175,0.0,0.0,1.0,0.0,0.0,4.375336972151316e-34,0.08713107638888888,5.0215573518488834e-33,6.999505359861613,0,0,0,48,"['Hemisus guineensis' 'Brachycephalus albolineatus'
 'Osteopilus septentrionalis' 'Chiromantis rufescens'
 'Raorchestes signatus' 'Haddadus binotatus' 'Polypedates cruciger'
 'Polypedates leucomystax' 'Pseudophilautus microtympanum'
 'Rhacophorus reinwardtii' 'Kurixalus idiootocus' 'Nyctixalus pictus'
 'Eleutherodactylus gossei' 'Buergeria oxycephala'
 'Pristimantis pulvinatus' 'Taruga eques' 'Hamptophryne boliviana'
 'Ischnocnema guentheri' 'Theloderma stellatum' 'Hypopachus ustum'
 'Dryophytes japonicus' 'Pelobates fuscus' 'Rana dalmatina'
 'Agalychnis moreletii' 'Megophrys feae' 'Anaxyrus cognatus'
 'Rhinella margaritifera' 'Anaxyrus microscaphus' 'Anaxyrus woodhousii'
 'Callulina kreffti' 'Ceratophrys ornata' 'Dyscophus guineti'
 'Hoplobatrachus tigerinus' 'Dryophytes gratiosus' 'Sylvirana guentheri'
 'Kaloula pulchra' 'Pyxicephalus adspersus'
 'Lithobates clamitans melanotus' 'Pelophylax lessonae'
 'Lithobates pipiens' 'Rana temporaria' 'Pipa pipa' 'Boophis albilabris'
 'Rhinella marina' 'Xenopus laevis' 'Xenopus tropicalis' 'Bufo bufo'
 'Boana boans']"
150,0.0,0.0,1.0,0.0,0.0,7.432330413596572e-30,1026.131599775677,7.243057727898992e-33,7.388828418219299,0,0,0,79,"['Plethodon cinereus' 'Hemisus guineensis' 'Brachycephalus albolineatus'
 'Osteopilus septentrionalis' 'Taricha torosa' 'Eurycea waterlooensis'
 'Eurycea sosorum' 'Chiromantis rufescens' 'Raorchestes signatus'
 'Haddadus binotatus' 'Polypedates cruciger' 'Polypedates leucomystax'
 'Pseudophilautus microtympanum' 'Leiopelma hochstetteri'
 'Rhacophorus reinwardtii' 'Kurixalus idiootocus' 'Nyctixalus pictus'
 'Eleutherodactylus gossei' 'Buergeria oxycephala'
 'Pristimantis pulvinatus' 'Taruga eques' 'Hamptophryne boliviana'
 'Ischnocnema guentheri' 'Ascaphus truei' 'Theloderma stellatum'
 'Hypopachus ustum' 'Cynops pyrrhogaster' 'Andrias japonicus'
 'Dryophytes japonicus' 'Ichthyophis glutinosus'
 'Microcaecilia dermatophaga' 'Discoglossus pictus' 'Bombina bombina'
 'Bombina variegata' 'Pelobates fuscus' 'Rana dalmatina'
 'Pleurodeles waltl' 'Agalychnis moreletii' 'Megophrys feae'
 'Anaxyrus cognatus' 'Rhinella margaritifera' 'Anaxyrus microscaphus'
 'Anaxyrus woodhousii' 'Callulina kreffti' 'Ceratophrys ornata'
 'Herpele squalostoma' 'Dyscophus guineti' 'Hoplobatrachus tigerinus'
 'Dryophytes gratiosus' 'Sylvirana guentheri' 'Kaloula pulchra'
 'Necturus maculosus' 'Potomotyphlus kaupii' 'Pyxicephalus adspersus'
 'Lithobates clamitans melanotus' 'Pelophylax lessonae'
 'Lithobates pipiens' 'Salamandra salamandra' 'Siphonops annulatus'
 'Cryptobranchus alleganiensis' 'Rana temporaria' 'Pipa pipa'
 'Ambystoma texanum' 'Ambystoma jeffersonianum' 'Ambystoma maculatum'
 'Ambystoma macrodactylum' 'Ambystoma opacum' 'Ambystoma talpoideum'
 'Rhyacotriton olympicus' 'Boophis albilabris' 'Rhinella marina'
 'Amphiuma means' 'Ambystoma mexicanum' 'Xenopus laevis'
 'Dermophis mexicanus' 'Ambystoma tigrinum' 'Xenopus tropicalis'
 'Bufo bufo' 'Boana boans']"
1310,0.0,0.0,1.0,0.0,0.0,0.26493167348021773,42.392799999999994,0.0062494497527933466,11.39339480000273,0,0,25,0,"['Kinosternon integrum' 'Gopherus polyphemus' 'Glyptemys muhlenbergii'
 'Carettochelys insculpta' 'Platysternon megacephalum'
 'Chelydra serpentina' 'Kinosternon sonoriense' 'Kinosternon flavescens'
 'Terrapene ornata' 'Trachemys scripta' 'Chrysemys picta'
 'Emys orbicularis' 'Eretmochelys imbricata' 'Clemmys guttata'
 'Lepidochelys kempii' 'Macrochelys temminckii' 'Testudo graeca'
 'Pelochelys bibroni' 'Chelonoidis niger' 'Chelonoidis carbonarius'
 'Caretta caretta' 'Pelodiscus sinensis' 'Dermochelys coriacea'
 'Apalone spinifera' 'Chelonia mydas']"
1285,0.0,0.0,1.0,0.0,0.0,8.969376648422626e-33,15.029035580988241,5.968032080361101e-34,7.863610029195513,0,116,0,0,"['Aptenodytes forsteri' 'Branta bernicla' 'Anser cygnoides'
 'Coscoroba coscoroba' 'Tadorna tadorna' 'Tadorna ferruginea'
 'Dendrocygna arcuata' 'Mareca strepera' 'Melanitta nigra' 'Aythya marila'
 'Bucephala clangula' 'Oxyura leucocephala' 'Mergellus albellus'
 'Gavia stellata' 'Tachybaptus ruficollis' 'Eudyptes schlegeli'
 'Pelecanus conspicillatus' 'Macronectes giganteus' 'Oceanites oceanicus'
 'Chroicocephalus ridibundus' 'Sterna paradisaea' 'Rynchops niger'
 'Tringa nebularia' 'Plegadis falcinellus' 'Threskiornis melanocephalus'
 'Psophia viridis' 'Jacana spinosa' 'Chlamydotis undulata undulata'
 'Attagis gayi' 'Pluvialis squatarola' 'Arenaria interpres'
 'Calidris canutus' 'Lyrurus tetrix tetrix' 'Lagopus muta' 'Perdix perdix'
 'Pternistis capensis' 'Callipepla californica' 'Pavo muticus'
 'Lophura nycthemera' 'Chrysolophus pictus' 'Penelope montagnii'
 'Argusianus argus' 'Crax rubra' 'Columba palumbus'
 'Ptilinopus magnificus' 'Ducula badia' 'Ptilinopus melanospilus'
 'Arremon semitorquatus' 'Parkerthraustes humeralis'
 'Saltator coerulescens' 'Neothraupis fasciata' 'Orthogonys chloricterus'
 'Thraupis ornata' 'Trichothraupis melanops' 'Hemithraupis flavicollis'
 'Tangara seledon' 'Chlorophonia cyanocephala' 'Corvus frugilegus'
 'Coloeus monedula' 'Pica pica' 'Pyrrhocorax graculus'
 'Nucifraga caryocatactes' 'Cissa thalassina' 'Heteralocha acutirostris'
 'Catharus minimus' 'Chloris sinica' 'Spheniscus humboldti'
 'Anas zonorhyncha' 'Hirundo rustica' 'Melopsittacus undulatus'
 'Motacilla alba alba' 'Otus sunia' 'Sterna hirundo' 'Coturnix japonica'
 'Parus major' 'Apteryx australis' 'Gallus gallus'
 'Dromaius novaehollandiae' 'Anas acuta' 'Cygnus olor'
 'Podiceps cristatus' 'Ciconia ciconia' 'Burhinus oedicnemus'
 'Pluvialis apricaria' 'Vanellus vanellus' 'Haematopus ostralegus'
 'Scolopax rusticola' 'Glareola pratincola' 'Upupa epops'
 'Cariama cristata' 'Corvus corax' 'Cereopsis novaehollandiae'
 'Cygnus atratus' 'Cygnus cygnus' 'Anas platyrhynchos' 'Biziura lobata'
 'Alca torda' 'Fratercula arctica' 'Eudyptula minor' 'Uria aalge'
 'Diomedea exulans' 'Limosa lapponica' 'Numenius arquata'
 'Platalea leucorodia' 'Gallinula chloropus' 'Fulica atra'
 'Calidris pugnax' 'Pterocles orientalis' 'Tetrao urogallus'
 'Lagopus lagopus' 'Phasianus colchicus' 'Goura cristata' 'Corvus corone'
 'Accipiter gentilis' 'Alauda arvensis' 'Gallinago gallinago']"
94,0.0,0.0,1.0,0.0,0.0,5.101778427423015e-31,148.14015,3.443886365325683e-33,6.666191065099273,0,0,0,20,"['Plethodon cinereus' 'Taricha torosa' 'Eurycea waterlooensis'
 'Eurycea sosorum' 'Cynops pyrrhogaster' 'Andrias japonicus'
 'Pleurodeles waltl' 'Necturus maculosus' 'Salamandra salamandra'
 'Cryptobranchus alleganiensis' 'Ambystoma texanum'
 'Ambystoma jeffersonianum' 'Ambystoma maculatum'
 'Ambystoma macrodactylum' 'Ambystoma opacum' 'Ambystoma talpoideum'
 'Rhyacotriton olympicus' 'Amphiuma means' 'Ambystoma mexicanum'
 'Ambystoma tigrinum']"
